,DESCRIPTION,CATEGORY
372,"A girls boyfriend's called his friends to rape the girl because she refused to have sex with her and now she is HIV positive,pregnant and also having STDs",Rape / Sexual Assault
373,A boy and a girl has been dating for five years and the boy insisted to have sex with her and she refused but later called his friends and rape her,Rape / Sexual Assault
374,A girl had sex with a boy and got infected with HIV/AIDS but do not want to inform her parents,Sexual Invites
375,A girl is having a friend who used to be so proud of herself and did not respect her friends and boys liked touching her in front of her fellow but now she is pregnant,Touching /Groping
376,A girl and a boy has been dating for 2 years and the boy has been insisting to have sex with the girl,Sexual Invites
377,a man in the same village is seducing a girl who is in primary,Others
378,A boy and a girl prefects are in love in the same class and they usually go to the toilet together.,Others
379,A girl was raped with her boyfriend and also got pregnant,Rape / Sexual Assault
380,A girl was touched on the breast by her brother,Touching /Groping
381,A girl was kissed on the breast and lips by a boy,Touching /Groping
382,A girl was kissed on the breast and lips by a boy,Touching /Groping
383,A girl is being seduced by boys in the same school,Others
384,"A fourteen year old was caned on the buttocks by the teacher and she has a problem, and she do not want",Sexual Invites
385,The girl was caned on the buttocks by the teacher and she do not want and the teacher insisted till her thighs were exposed,Sexual Invites
386,The girl was caned on the buttocks by the teacher and she do not want and the teacher insisted till her thighs were exposed,Sexual Invites
387,The girl was caned on the buttocks by the teacher and she do not want and the teacher insisted till her thighs were exposed,Sexual Invites
388,The girl was caned on the buttocks by the teacher and she do not want and the teacher insisted till her thighs were exposed,Sexual Invites
389,The girl was caned on the buttocks by the teacher and she do not want and the teacher insisted till her thighs were exposed,Sexual Invites
390,"A girl was caned on the buttocks by the teacher and pulled up  her uniform in front of her fellow students
   
till her panty was seen",Sexual Invites
391,"I had a boyfriend but I refused to have sex with him. One day my mum sent to the shop very early in the morning, I found him with a group of boys they had a machete, they raped me, I contracted a disease, I now smell",Rape / Sexual Assault
392,"I had a boyfriend but I refused to have sex with him. One day my mum sent to the shop very early in the morning, I found him with a group of boys they had a machete, they raped me, I contracted a disease, I now smell",Rape / Sexual Assault
393,a girl was going to the shop and met some boys  and they started touching her,Touching /Groping
394,a man timed a young girl when her mother had left started touching the girl on her private parts but the girl came in and the man ran away,Touching /Groping
395,"two girls were walking from home and met some men on the road late evening, they grabbed one girl and the other one started screaming for help  the girl was taken to hospital by the residents",Sexual Invites
396,a girl was kidnapped and another girl saw and reported the matter to the police station,Rape / Sexual Assault
397,a girl was kidnapped and another girl saw and reported the matter to the police station,Rape / Sexual Assault
398,when we went for a family trip in blue world waterpark their was one person who was continuous  watching me and then after that when we going home he followed us till the end .,Stalking
399,Faith put on indecently and met some boys when she going to the shop and the boys started touching her on the breast,Touching /Groping
400,the girl was from the shop and met avery shaggy man at night and grabbed her to a near by bush and raped the girl and the girl screamed and the man was caught and was arrested,Rape / Sexual Assault
401,"a girl was passing and met some boys on her way home at night, they started touching her on the breast",Touching /Groping
402,a girl was raped by some two boys when she was travelling to Nakuru,Rape / Sexual Assault
403,she was sent to the shop and met some boys when she was on her way back and started touching her till she was raped,Touching /Groping
404,a standard six girl is was raped and now is pregnant when she was from school,Rape / Sexual Assault
405,"a girl was sent to the shop by her grandmother to buy milk and met some boys on the way and raped her, the case was reported to the police and the girl was helped",Touching /Groping
406,I was followed by 2-3 guys and they were whistling and calling my name and following me everywhere,Catcalls/Whistles
407,I used to go to buy milk every evening around 7:00 and then I noticed a boy was stalking me . I ignored it the first day . second day he was trying to talk to me and touch me and then I tried to run away.But third day he came with his friend and they both caught me and touched me but then I screamed and bite one of them and then the ran away.,Stalking
408,a girl was raped when she was from the shop  at the corridor and started bleeding on the private parts,Touching /Groping
409,a smart was being called by some boys but she refused to go  but was forced and carried to a near  by bush and was raped,Catcalls/Whistles
